Name,Brand,Notes,Themes,URL
Cœur de Noir,Beaufort,"Bergamot, Black pepper, Ginger, Ink, Lemon, Rum, Lavender, Leather, Suede, Woods, Paper, Vanilla, Birch tar, Frankincense, Labdanum, Cedarwood, Tobacco","Smoky, Spicy, Leathery, Woody, Resinous",https://www.parfumo.com/Perfumes/Beaufort/Cur_de_Noir
Tonkade,Laboratorio Olfattivo,"Tonka bean, Dried fruits, Cardamom, Neroli, Cashmeran, Patchouli, Vanilla, Atlas cedar, Tonka bean, Musk, Vanilla, Woods, Frankincense","Sweet, Spicy, Creamy, Gourmand, Woody",https://www.parfumo.com/Perfumes/Laboratorio_Olfattivo/tonkade
Bee,Zoologist,"Royal jelly, Ginger syrup, Orange, Broom, Heliotrope, Orange blossom, Mimosa, Benzoin, Labdanum, Tonka bean, Musk, Sandalwood, Vanilla","Sweet, Gourmand, Resinous, Spicy, Floral",https://www.parfumo.com/Perfumes/Zoologist/bee
Penguin,Zoologist,"Ice accord, Juniper berry, Air accord, Pink pepper, Saffron, Cistus absolute, Suede, Irish moss, Musk, Sandalwood","Fresh, Spicy, Aquatic, Leathery, Synthetic",https://www.parfumo.com/Perfumes/Zoologist/penguin
Moth,Zoologist,"Black pepper, Clove, Cumin, Nutmeg, Saffron, Cinnamon, Lemon, Heliotrope, Iris, Jasmine, Mimosa, Lily of the valley, Rose, Honey, Resins, Musk, Nagarmotha, Oud, Smoke, Ambergris, Gaiac wood, Patchouli, Vetiver","Spicy, Sweet, Smoky, Resinous, Woody",https://www.parfumo.com/Perfumes/Zoologist/Moth
Macaque Fuji Apple Edition,Zoologist,"Fuji apple, Juniper berry, Frankincense, Hinoki wood, Myrrh, Frankincense absolute, Oakmoss absolute, New Caledonian sandalwood","Fruity, Woody, Spicy, Fresh, Sweet",https://www.parfumo.com/Perfumes/Zoologist/macaque-fuji-apple-edition-2021
Seahorse,Zoologist,"Fennel, Ambrette seed absolute, Guatemala cardamom, Clary sage, Tuberose, Neroli, Algae absolute, Ambergris, Vetiver","Aquatic, Fresh, Spicy, Floral, Sweet",https://www.parfumo.com/Perfumes/Zoologist/seahorse
L'Eau Papier,Diptyque,"Musk, Sesame, Mimosa, Woody notes","Creamy, Woody, Fresh, Synthetic, Powdery",https://www.parfumo.com/Perfumes/Diptyque/l-eau-papier
Petrichor,Demeter Fragrance Library / The Library Of Fragrance,"Water notes, Soil","Aquatic, Fresh, Earthy, Spicy, Synthetic",https://www.parfumo.com/Perfumes/Demeter_Fragrance_Library/Petrichor
Thunderstorm,Demeter Fragrance Library / The Library Of Fragrance,"Petrichor, Ozone","Earthy, Green, Synthetic, Fresh, Spicy",https://www.parfumo.com/Perfumes/Demeter_Fragrance_Library/Thunderstorm
Electric Dreams,Miguel Matos,"Plastic, Bubble gum, metallic notes, banana, fruit salad, smoke, strawberry, white wine, iso e super, leather, exotic floral notes, musk, ambrocenide, citrus","Synthetic, Fruity, Sweet, Fresh, Floral",https://www.parfumo.com/Perfumes/Miguel_Matos/electric-dreams
Cåke,ånd fragrance,"Caramel, Cocoa, Cocoa absolute","Sweet, Spicy, Fruity, Gourmand",https://www.parfumo.com/Perfumes/and-fragrance/cake-eau-de-toilette
Mango Sticky Rice,d'Annam,"Mango, Sticky rice, Coconut milk","Fruity, Sweet, Creamy, Synthetic, Fresh",https://www.parfumo.com/Perfumes/d-annam/mango-sticky-rice
Haunted Circus,Dark Tales,"Ozone, Rubber, Powdery notes, Caramel, Popcorn, Salted butter, Make-up, Vanilla, Soil, Ebony, Patchouli, Dried leaves, Vetiver","Gourmand, Sweet, Earthy, Powdery, Spicy",https://www.parfumo.com/Perfumes/dark-tales/haunted-circus
Dawn Whispers,L'Entropiste,"Ozonic notes, Milk, Musk, Amber, Metallic notes, Woods","Fresh, Synthetic, Creamy, Sweet, Spicy",https://www.parfumo.com/Perfumes/l-entropiste/dawn-whispers
Dorian's Spleen,L'Entropiste,"Whisky, Caramel, Coffee, Spices, Ash tree, Dark chocolate, Smoke","Gourmand, Spicy, Sweet, Smoky, Woody",https://www.parfumo.com/Perfumes/l-entropiste/dorian-s-spleen
II Farmakon,Maqueda,"Herbaceous notes, Frankincense, Resins","Resinous, Smoky, Spicy, Leathery, Woody",https://www.parfumo.com/Perfumes/maqueda/ii-farmakon
